2Kmin,,5Kmin,,20Kmin,
X,Y,X,Y,X,Y
1064.386428728795,0.4561434912989595,1069.1595064992289,0.4530719972924139,1090.2974223397223,0.45487328990288567
1068.4776382463097,0.4582052197004767,1073.2507160167438,0.4541068174798719,1094.3886318572372,0.45705237924315234
1072.5688477638246,0.4601202469285569,1077.3419255342587,0.45396802827983374,1098.4798413747521,0.4580676392741523
1076.6600572813395,0.4617418718097631,1081.4331350517734,0.4548561472938548,1102.571050892267,0.46017826806681517
1080.7512667988544,0.46351019786440617,1085.5243445692884,0.4560865690458955,1106.662260409782,0.46184879333916695
1084.8424763163691,0.46615873095967153,1089.6155540868033,0.4582949986208499,1110.7534699272967,0.46263911157089654
1088.933685833884,0.4679270570143147,1093.7067636043182,0.4607723803471052,1114.8446794448116,0.46386953332293734
1093.024895351399,0.4699887854158318,1097.797973121833,0.46307861070435075,1118.9358889623265,0.46622466407132857
1097.116104868914,0.4732241232048453,1101.8891826393478,0.46663180103581114,1123.0270984798412,0.46799299012597173
1101.2073143864286,0.4752858516063625,1105.9803921568628,0.4679600235701432,1127.1183079973562,0.469761316180615
1105.2985239039435,0.47837448822193884,1110.0716016743777,0.47031515431853443,1131.209517514871,0.4727032516227542
1109.3897334214585,0.4810230213172042,1114.1628111918924,0.4732570897606738,1135.300727032386,0.4746182788508345
1113.4809429389734,0.4842583591062176,1118.2540207094073,0.475318818162191,1139.391936549901,0.4766800072523517
1117.5721524564883,0.48778709924210517,1122.3452302269222,0.47840745477776736,1143.4831460674156,0.4800620462148021
1121.663361974003,0.4913158393779926,1126.4364397444372,0.4812026890464698,1147.5743555849306,0.4824171769631934
1125.754571491518,0.4951379818607541,1130.5276492619519,0.48429132566204625,1151.6655651024455,0.48550581357876976
1129.8457810090329,0.4991068255169526,1134.6188587794668,0.4876733646244965,1155.7567746199602,0.488154346674035
1133.9369905265476,0.5032223703465883,1138.7100682969817,0.49120210476038406,1159.8479841374751,0.4915363856364856
1138.0282000440625,0.5082181222168459,1142.8012778144966,0.4948775460697087,1163.93919365499,0.494771723425499
1142.1194095615774,0.5130671729136667,1146.8924873320113,0.49869968855247004,1168.030403172505,0.4985938659082605
1146.2106190790923,0.5183563271307985,1150.9836968495263,0.5025218310352316,1172.12161269002,0.502122606044148
1150.3018285966073,0.5240855848682413,1155.0749063670412,0.5070774793851783,1176.2128222075346,0.5060914497003466
1154.393038114122,0.5301082449525583,1159.1661158845561,0.5114864265616879,1180.3040317250495,0.509766891009671
